tipo,algoritmo,N,NP,H,workers,tiempo_us
Hilos,clasica,1600,5,1,4,10505103
Hilos,clasica,1600,5,1,4,10473796
Hilos,clasica,1600,5,1,4,10506813
Hilos,clasica,1600,5,1,4,10485243
Hilos,clasica,1600,5,1,4,10495340
Hilos,clasica,1600,5,1,4,10462035
Hilos,clasica,1600,5,1,4,10574247
Hilos,clasica,1600,5,1,4,10378625
Hilos,clasica,1600,5,1,4,10541968
Hilos,clasica,1600,5,1,4,10527829
Hilos,clasica,1600,5,1,4,10265943
Hilos,clasica,1600,5,1,4,10414857
Hilos,clasica,1600,5,1,4,10481610
Hilos,clasica,1600,5,1,4,10550532
Hilos,clasica,1600,5,1,4,10510081
Hilos,clasica,1600,5,1,4,10426233
Hilos,clasica,1600,5,1,4,10470491
Hilos,clasica,1600,5,1,4,10588916
Hilos,clasica,1600,5,1,4,10286078
Hilos,clasica,1600,5,1,4,10600129
Hilos,clasica,1600,5,1,4,10423421
Hilos,clasica,1600,5,1,4,10466668
Hilos,clasica,1600,5,1,4,10386224
Hilos,clasica,1600,5,1,4,10398752
Hilos,clasica,1600,5,1,4,10465283
Hilos,clasica,1600,5,1,4,10421588
Hilos,clasica,1600,5,1,4,10441609
Hilos,clasica,1600,5,1,4,10425506
Hilos,clasica,1600,5,1,4,10451939
Hilos,clasica,1600,5,1,4,10446206
Hilos,clasica,1600,5,4,4,6429994
Hilos,clasica,1600,5,4,4,6568406
Hilos,clasica,1600,5,4,4,6499093
Hilos,clasica,1600,5,4,4,6290471
Hilos,clasica,1600,5,4,4,6465799
Hilos,clasica,1600,5,4,4,6216192
Hilos,clasica,1600,5,4,4,6211320
Hilos,clasica,1600,5,4,4,6460932
Hilos,clasica,1600,5,4,4,6225830
Hilos,clasica,1600,5,4,4,6424341
Hilos,clasica,1600,5,4,4,6232056
Hilos,clasica,1600,5,4,4,6314684
Hilos,clasica,1600,5,4,4,6296583
Hilos,clasica,1600,5,4,4,6379117
Hilos,clasica,1600,5,4,4,6424669
Hilos,clasica,1600,5,4,4,6554832
Hilos,clasica,1600,5,4,4,6453475
Hilos,clasica,1600,5,4,4,6487495
Hilos,clasica,1600,5,4,4,6357606
Hilos,clasica,1600,5,4,4,6545683
Hilos,clasica,1600,5,4,4,6373210
Hilos,clasica,1600,5,4,4,6682889
Hilos,clasica,1600,5,4,4,6633327
Hilos,clasica,1600,5,4,4,6392245
Hilos,clasica,1600,5,4,4,6383989
Hilos,clasica,1600,5,4,4,6471566
Hilos,clasica,1600,5,4,4,6332401
Hilos,clasica,1600,5,4,4,6366434
Hilos,clasica,1600,5,4,4,6526484
Hilos,clasica,1600,5,4,4,6334078
Hilos,clasica,1600,5,8,4,6077765
Hilos,clasica,1600,5,8,4,5787694
Hilos,clasica,1600,5,8,4,5790408
Hilos,clasica,1600,5,8,4,5866072
Hilos,clasica,1600,5,8,4,6238151
Hilos,clasica,1600,5,8,4,5863651
Hilos,clasica,1600,5,8,4,5852045
Hilos,clasica,1600,5,8,4,5831236
Hilos,clasica,1600,5,8,4,5842439
Hilos,clasica,1600,5,8,4,6150029
Hilos,clasica,1600,5,8,4,6052286
Hilos,clasica,1600,5,8,4,5812539
Hilos,clasica,1600,5,8,4,6024700
Hilos,clasica,1600,5,8,4,5837840
Hilos,clasica,1600,5,8,4,6134664
Hilos,clasica,1600,5,8,4,6081464
Hilos,clasica,1600,5,8,4,6087796
Hilos,clasica,1600,5,8,4,6144749
Hilos,clasica,1600,5,8,4,6060391
Hilos,clasica,1600,5,8,4,5800581
Hilos,clasica,1600,5,8,4,6092932
Hilos,clasica,1600,5,8,4,5820970
Hilos,clasica,1600,5,8,4,5845544
Hilos,clasica,1600,5,8,4,5920694
Hilos,clasica,1600,5,8,4,6101925
Hilos,clasica,1600,5,8,4,5860062
Hilos,clasica,1600,5,8,4,5854660
Hilos,clasica,1600,5,8,4,5847416
Hilos,clasica,1600,5,8,4,6094069
Hilos,clasica,1600,5,8,4,5879805
Hilos,clasica,3200,5,1,4,85342280
Hilos,clasica,3200,5,1,4,84664244
Hilos,clasica,3200,5,1,4,84577133
Hilos,clasica,3200,5,1,4,85364791
Hilos,clasica,3200,5,1,4,87375087
Hilos,clasica,3200,5,1,4,84540480
Hilos,clasica,3200,5,1,4,85332284
Hilos,clasica,3200,5,1,4,85352481
Hilos,clasica,3200,5,1,4,84982643
Hilos,clasica,3200,5,1,4,84657953
Hilos,clasica,3200,5,1,4,85139687
Hilos,clasica,3200,5,1,4,85360381
Hilos,clasica,3200,5,1,4,84077774
Hilos,clasica,3200,5,1,4,86693769
Hilos,clasica,3200,5,1,4,84928686
Hilos,clasica,3200,5,1,4,84722949
Hilos,clasica,3200,5,1,4,85229642
Hilos,clasica,3200,5,1,4,84052952
Hilos,clasica,3200,5,1,4,85456233
Hilos,clasica,3200,5,1,4,86458764
Hilos,clasica,3200,5,1,4,84246041
Hilos,clasica,3200,5,1,4,84982498
Hilos,clasica,3200,5,1,4,84209974
Hilos,clasica,3200,5,1,4,85931415
Hilos,clasica,3200,5,1,4,85886462
Hilos,clasica,3200,5,1,4,85369471
Hilos,clasica,3200,5,1,4,85998589
Hilos,clasica,3200,5,1,4,84919218
Hilos,clasica,3200,5,1,4,86167853
Hilos,clasica,3200,5,1,4,84806845
Hilos,clasica,3200,5,4,4,38948245
Hilos,clasica,3200,5,4,4,38748690
Hilos,clasica,3200,5,4,4,40259630
Hilos,clasica,3200,5,4,4,38849707
Hilos,clasica,3200,5,4,4,39065538
Hilos,clasica,3200,5,4,4,39699938
Hilos,clasica,3200,5,4,4,40749545
Hilos,clasica,3200,5,4,4,38858777
Hilos,clasica,3200,5,4,4,39465806
